ED, intextSwitchpoint,GPU_time,CPU_time,Threads,GPU_matches,CPU_matches
5, 1, 1:24.52, 1:20.82, 10, 68767565, 68767636
5, 2, 1:26.21, 1:20.70, 10, 68767516, 68767636
5, 1, 1:24.83, 1:21.31, 10, 68767565, 68767636
5, 2, 1:26.22, 1:20.89, 10, 68767516, 68767636
5, 1, 1:24.43, 1:25.99, 10, 68767565, 68767636
5, 2, 1:31.18, 1:27.73, 10, 68767516, 68767636
5, 1, 1:24.56, 1:23.91, 10, 68767565, 68767636
5, 2, 1:26.24, 1:20.65, 10, 68767516, 68767636
5, 1, 1:24.75, 1:27.57, 10, 68767565, 68767636
5, 2, 1:26.31, 1:20.73, 10, 68767516, 68767636
5, 1, 1:25.13, 1:43.82, 10, 68767565, 68767636
5, 2, 1:26.02, 1:24.43, 10, 68767516, 68767636
5, 1, 1:24.98, 1:20.74, 10, 68767565, 68767636
5, 2, 1:25.82, 1:22.24, 10, 68767516, 68767636
5, 1, 1:30.48, 1:25.63, 10, 68767565, 68767636
5, 2, 1:25.92, 1:20.80, 10, 68767516, 68767636
5, 1, 1:24.57, 1:25.82, 10, 68767565, 68767636
5, 2, 1:26.42, 1:20.65, 10, 68767516, 68767636
5, 1, 1:24.72, 1:34.85, 10, 68767565, 68767636
5, 2, 1:26.03, 1:34.54, 10, 68767516, 68767636
6, 1, 2:30.29, 2:23.27, 10, 110800608, 110800584
6, 2, 2:37.35, 2:14.70, 10, 110800629, 110800584
6, 1, 2:30.28, 2:38.83, 10, 110800608, 110800584
6, 2, 2:38.27, 2:15.04, 10, 110800629, 110800584
6, 1, 2:30.61, 2:15.08, 10, 110800608, 110800584
6, 2, 2:37.64, 2:14.93, 10, 110800629, 110800584
6, 1, 2:30.05, 2:15.02, 10, 110800608, 110800584
6, 2, 2:37.75, 2:16.18, 10, 110800629, 110800584
6, 1, 2:30.83, 2:16.03, 10, 110800608, 110800584
6, 2, 4:35.44, 2:25.30, 10, 110800629, 110800584
6, 1, 2:30.13, 2:35.35, 10, 110800608, 110800584
6, 2, 2:37.59, 2:21.10, 10, 110800629, 110800584
6, 1, 2:31.60, 2:15.33, 10, 110800608, 110800584
6, 2, 2:38.23, 2:17.50, 10, 110800629, 110800584
6, 1, 2:30.33, 2:19.72, 10, 110800608, 110800584
6, 2, 2:37.56, 2:15.39, 10, 110800629, 110800584
6, 1, 2:33.67, 2:47.93, 10, 110800608, 110800584
6, 2, 2:48.87, 2:16.08, 10, 110800629, 110800584
6, 1, 2:34.79, 2:21.88, 10, 110800608, 110800584
6, 2, 2:50.08, 2:25.55, 10, 110800629, 110800584
