ED, intextSwitchpoint,GPU_time,CPU_time,Threads,GPU_matches,CPU_matches
1, 0, 0:09.97, 0:08.12, 10, 6385689, 6385689
1, 0, 0:09.99, 0:08.11, 10, 6385689, 6385689
1, 0, 0:09.93, 0:14.79, 10, 6385689, 6385689
1, 0, 0:09.94, 0:08.13, 10, 6385689, 6385689
1, 0, 0:09.92, 0:08.14, 10, 6385689, 6385689
2, 0, 0:13.83, 0:11.73, 10, 12870241, 12870241
2, 0, 0:13.87, 0:11.73, 10, 12870241, 12870241
2, 0, 0:13.83, 0:11.71, 10, 12870241, 12870241
2, 0, 0:14.65, 0:11.71, 10, 12870241, 12870241
2, 0, 0:13.89, 0:11.71, 10, 12870241, 12870241
3, 0, 0:22.12, 0:20.88, 10, 23632628, 23632628
3, 0, 0:22.20, 0:20.30, 10, 23632628, 23632628
3, 0, 0:22.21, 0:20.35, 10, 23632628, 23632628
3, 0, 0:22.29, 0:20.62, 10, 23632628, 23632628
3, 0, 0:22.22, 0:20.34, 10, 23632628, 23632628
4, 0, 0:41.55, 0:38.99, 10, 41147035, 41147035
4, 0, 0:41.79, 0:58.47, 10, 41147035, 41147035
4, 0, 0:41.66, 0:38.93, 10, 41147035, 41147035
4, 0, 0:41.75, 0:38.88, 10, 41147035, 41147035
4, 0, 0:41.72, 0:38.78, 10, 41147035, 41147035
5, 0, 1:26.90, 1:47.57, 10, 68767636, 68767636
5, 0, 1:27.09, 1:21.10, 10, 68767636, 68767636
5, 0, 1:27.06, 1:21.08, 10, 68767636, 68767636
5, 0, 1:26.97, 1:21.16, 10, 68767636, 68767636
5, 0, 1:27.63, 1:25.88, 10, 68767636, 68767636
6, 0, 2:27.08, 3:07.80, 10, 110800584, 110800584
6, 0, 2:27.05, 2:14.90, 10, 110800584, 110800584
6, 0, 2:25.83, 2:30.34, 10, 110800584, 110800584
6, 0, 2:26.62, 2:18.15, 10, 110800584, 110800584
6, 0, 2:27.11, 2:44.12, 10, 110800584, 110800584
7, 0, 5:05.23, 5:19.40, 10, 171395835, 171395835
7, 0, 5:04.82, 5:00.82, 10, 171395835, 171395835
7, 0, 5:05.40, 4:40.77, 10, 171395835, 171395835
7, 0, 5:05.23, 5:16.19, 10, 171395835, 171395835
7, 0, 5:04.41, 5:11.07, 10, 171395835, 171395835
8, 0, 11:55.19, 25:53.26, 10, , 254988656
8, 0, 12:10.81, 25:59.96, 10, , 254988656
8, 0, 11:58.73, 26:37.37, 10, , 254988656
8, 0, 11:56.88, 26:08.33, 10, , 254988656
8, 0, 12:07.10, 26:00.66, 10, , 254988656
