ED,intextSwitchpoint,GPU_time,CPU_time,Threads,GPU_matches,CPU_matches
3, 1, 2:38.02, 2:18.73, 1, 23632628, 23632628
3, 1, 2:37.62, 2:19.37, 1, 23632628, 23632628
3, 1, 3:03.46, 2:19.68, 1, 23632628, 23632628
3, 1, 2:37.53, 2:19.56, 1, 23632628, 23632628
3, 1, 2:37.82, 2:20.35, 1, 23632628, 23632628
3, 1, 1:16.54, 1:11.80, 2, 23632628, 23632628
3, 1, 1:16.17, 1:11.89, 2, 23632628, 23632628
3, 1, 1:16.06, 1:12.13, 2, 23632628, 23632628
3, 1, 1:16.37, 1:11.86, 2, 23632628, 23632628
3, 1, 1:16.72, 1:11.94, 2, 23632628, 23632628
3, 1, 0:39.46, 0:37.55, 4, 23632628, 23632628
3, 1, 0:39.58, 0:37.44, 4, 23632628, 23632628
3, 1, 0:39.48, 0:37.42, 4, 23632628, 23632628
3, 1, 0:39.41, 0:37.34, 4, 23632628, 23632628
3, 1, 0:39.15, 0:37.64, 4, 23632628, 23632628
3, 1, 0:21.72, 0:20.22, 8, 23632628, 23632628
3, 1, 0:21.82, 0:20.27, 8, 23632628, 23632628
3, 1, 0:21.63, 0:22.06, 8, 23632628, 23632628
3, 1, 0:21.83, 0:20.33, 8, 23632628, 23632628
3, 1, 0:21.66, 0:20.24, 8, 23632628, 23632628
3, 1, 0:18.40, 0:16.85, 10, 23632628, 23632628
3, 1, 0:18.36, 0:16.83, 10, 23632628, 23632628
3, 1, 0:18.55, 0:19.79, 10, 23632628, 23632628
3, 1, 0:18.36, 0:16.81, 10, 23632628, 23632628
3, 1, 0:18.40, 0:16.85, 10, 23632628, 23632628
3, 3, 2:34.43, 2:22.87, 1, 23632628, 23632628
3, 3, 2:33.08, 2:23.10, 1, 23632628, 23632628
3, 3, 2:33.41, 2:22.95, 1, 23632628, 23632628
3, 3, 2:34.05, 2:23.43, 1, 23632628, 23632628
3, 3, 2:33.65, 2:22.23, 1, 23632628, 23632628
3, 3, 1:13.74, 1:12.65, 2, 23632628, 23632628
3, 3, 1:14.29, 1:12.22, 2, 23632628, 23632628
3, 3, 1:14.23, 1:12.49, 2, 23632628, 23632628
3, 3, 1:13.82, 1:12.60, 2, 23632628, 23632628
3, 3, 1:14.42, 1:12.52, 2, 23632628, 23632628
3, 3, 0:38.20, 0:37.87, 4, 23632628, 23632628
3, 3, 0:38.33, 0:37.74, 4, 23632628, 23632628
3, 3, 0:38.49, 0:37.78, 4, 23632628, 23632628
3, 3, 0:38.51, 0:37.96, 4, 23632628, 23632628
3, 3, 0:38.23, 0:37.95, 4, 23632628, 23632628
3, 3, 0:21.24, 0:20.39, 8, 23632628, 23632628
3, 3, 0:21.26, 0:20.51, 8, 23632628, 23632628
3, 3, 0:21.29, 0:20.40, 8, 23632628, 23632628
3, 3, 0:21.25, 0:20.42, 8, 23632628, 23632628
3, 3, 0:21.21, 0:20.49, 8, 23632628, 23632628
3, 3, 0:17.99, 0:16.99, 10, 23632628, 23632628
3, 3, 0:18.01, 0:17.03, 10, 23632628, 23632628
3, 3, 0:18.05, 0:17.01, 10, 23632628, 23632628
3, 3, 0:18.17, 0:17.00, 10, 23632628, 23632628
3, 3, 0:17.93, 0:16.99, 10, 23632628, 23632628
3, 5, 2:35.29, 2:27.14, 1, 23632628, 23632628
3, 5, 2:34.64, 2:27.02, 1, 23632628, 23632628
3, 5, 2:34.93, 2:26.58, 1, 23632628, 23632628
3, 5, 2:34.30, 2:26.71, 1, 23632628, 23632628
3, 5, 2:34.89, 2:22.93, 1, 23632628, 23632628
3, 5, 1:14.43, 1:14.83, 2, 23632628, 23632628
3, 5, 1:15.01, 1:14.48, 2, 23632628, 23632628
3, 5, 1:15.05, 1:14.27, 2, 23632628, 23632628
3, 5, 1:14.93, 1:14.44, 2, 23632628, 23632628
3, 5, 1:15.00, 1:14.04, 2, 23632628, 23632628
3, 5, 0:38.71, 0:38.53, 4, 23632628, 23632628
3, 5, 0:38.45, 0:56.88, 4, 23632628, 23632628
3, 5, 0:38.46, 0:38.73, 4, 23632628, 23632628
3, 5, 0:38.55, 0:38.75, 4, 23632628, 23632628
3, 5, 0:38.37, 0:38.82, 4, 23632628, 23632628
3, 5, 0:21.35, 0:20.84, 8, 23632628, 23632628
3, 5, 0:21.43, 0:20.93, 8, 23632628, 23632628
3, 5, 0:21.31, 0:20.90, 8, 23632628, 23632628
3, 5, 0:21.21, 0:20.91, 8, 23632628, 23632628
3, 5, 0:21.34, 0:20.84, 8, 23632628, 23632628
3, 5, 0:18.01, 0:17.47, 10, 23632628, 23632628
3, 5, 0:18.16, 0:17.36, 10, 23632628, 23632628
3, 5, 0:18.10, 0:17.37, 10, 23632628, 23632628
3, 5, 0:18.09, 0:17.36, 10, 23632628, 23632628
