ed,depth,size,time_ms
1,1,51151,
1,1,53135,
1,1,53407,
1,1,50269,
1,1,50669,
1,1,54210,
1,1,51944,
1,1,52813,
1,1,51956,
1,1,56252,
1,1,56506,
1,1,52491,
1,1,55075,
1,1,53167,
1,1,53663,
1,1,52325,
1,1,53054,
1,1,53227,
1,1,54773,
1,1,53007,
1,1,51629,
1,1,53976,
1,1,54068,
1,1,55366,
1,1,53266,
1,1,53321,
1,1,52547,
1,1,51183,
1,1,52465,
1,1,50415,
1,1,54013,
1,1,53587,
1,1,52674,
1,1,51568,
1,1,52166,
1,1,52848,
1,1,53830,
1,1,52911,
1,1,53244,
1,1,52470,
2,1,184234,
2,1,165177,
2,1,180069,
2,1,184579,
2,1,187100,
2,1,195002,
2,1,181654,
2,1,184101,
2,1,182087,
2,1,178526,
2,1,180262,
2,1,191699,
2,1,203183,
2,1,190288,
2,1,199319,
2,1,193840,
2,1,182823,
2,1,195616,
2,1,183327,
2,1,184655,
2,1,188229,
2,1,201750,
2,1,194937,
2,1,182355,
2,1,185851,
2,1,186133,
2,1,174303,
2,1,184114,
2,1,164922,
2,1,178449,
2,1,187821,
2,1,199081,
2,1,183488,
2,1,179073,
2,1,187145,
2,1,173201,
2,1,180661,
2,1,184990,
2,1,170184,
2,1,178523,
3,1,598005,
3,1,662514,
3,1,640291,
3,1,662179,
3,1,650592,
3,1,635442,
3,1,647745,
3,1,674769,
3,1,597925,
3,1,662110,
3,1,695625,
3,1,681153,
3,1,697485,
3,1,715790,
3,1,710859,
3,1,633400,
3,1,629669,
3,1,622760,
3,1,686497,
3,1,653776,
3,1,676442,
3,1,633956,
3,1,679291,
3,1,730683,
3,1,680324,
3,1,643664,
3,1,627496,
3,1,648925,
3,1,654631,
3,1,587222,
3,1,656516,
3,1,674606,
3,1,674518,
3,1,645791,
3,1,632278,
3,1,661792,
3,1,680525,
3,1,585810,
3,1,664043,
3,1,640759,
4,1,2127075,
4,1,2207468,
4,1,2353212,
4,1,2168077,
4,1,2392657,
4,1,2497820,
4,1,2350114,
4,1,2326387,
4,1,2329188,
4,1,2040782,
4,1,2423071,
4,1,2385380,
4,1,2354920,
4,1,2363606,
4,1,2483187,
4,1,2135019,
4,1,2233418,
4,1,2088356,
4,1,2374978,
4,1,2315172,
4,1,2341892,
4,1,2306367,
4,1,2321705,
4,1,2510455,
4,1,2305542,
4,1,2369112,
4,1,2196847,
4,1,2081174,
4,1,2339938,
4,1,2329409,
4,1,2257195,
4,1,2356256,
4,1,2423267,
4,1,2383387,
4,1,2305398,
4,1,2199211,
4,1,2069433,
4,1,2281940,
4,1,2385698,
4,1,2324555,
5,1,7473232,
5,1,6944981,
5,1,7004419,
5,1,7458788,
5,1,7490442,
5,1,7420266,
5,1,7789088,
5,1,7368586,
5,1,7150106,
5,1,6437293,
5,1,7602851,
5,1,7308881,
5,1,7916306,
5,1,7926449,
5,1,7682629,
5,1,6646632,
5,1,6653393,
5,1,6638442,
5,1,6977608,
5,1,7006801,
5,1,7032672,
5,1,7645957,
5,1,7362626,
5,1,7994430,
5,1,7536288,
5,1,7447845,
5,1,6242169,
5,1,7153987,
5,1,7352072,
5,1,7535161,
5,1,6905237,
5,1,7423997,
5,1,7783759,
5,1,8147267,
5,1,6463882,
5,1,6885822,
5,1,7204782,
5,1,7157119,
5,1,7111755,
5,1,7527499,
6,1,13004598,
6,1,12795055,
6,1,13415340,
6,1,13432377,
6,1,13873565,
6,1,12472087,
6,1,13829986,
6,1,14112076,
6,1,13303551,
6,1,11982350,
6,1,14165575,
6,1,13599353,
6,1,13253842,
6,1,13825349,
6,1,12323184,
6,1,14047610,
6,1,12211231,
6,1,12213476,
6,1,14059038,
6,1,12861266,
6,1,12672573,
6,1,13132477,
6,1,12948592,
6,1,14225782,
6,1,13610821,
6,1,14101833,
6,1,13534970,
6,1,11793627,
6,1,12755266,
6,1,12466186,
6,1,13240327,
6,1,13573197,
6,1,13876458,
6,1,11968186,
6,1,13267629,
6,1,13116090,
6,1,14439397,
6,1,13002802,
6,1,12726544,
6,1,13904127,
7,1,29806984,
7,1,30846389,
7,1,29902097,
7,1,30799147,
7,1,31313207,
7,1,32973625,
7,1,32565600,
7,1,33309284,
7,1,30570617,
7,1,29806713,
7,1,28117415,
7,1,31015871,
7,1,30658363,
7,1,34434553,
7,1,33258455,
7,1,32132305,
7,1,28802371,
7,1,28377290,
7,1,30111754,
7,1,29995067,
7,1,28547436,
7,1,30954118,
7,1,34004748,
7,1,33686685,
7,1,32240012,
7,1,28018371,
7,1,32110315,
7,1,29809051,
7,1,30291575,
7,1,31385553,
7,1,32131843,
7,1,31059976,
7,1,32495336,
7,1,28248781,
7,1,29028809,
7,1,30740071,
7,1,30456783,
7,1,30246324,
7,1,33991120,
7,1,31802137,
8,1,202651623,
8,1,195906086,
8,1,215309606,
8,1,217097876,
8,1,234280364,
8,1,241832268,
8,1,257881294,
8,1,276101799,
8,1,202764224,
8,1,195796326,
8,1,224393293,
8,1,178671769,
8,1,230628766,
8,1,182862160,
8,1,259429673,
8,1,230234553,
8,1,202659642,
8,1,204460697,
8,1,215847900,
8,1,187766570,
8,1,206643279,
8,1,239612676,
8,1,229866094,
8,1,237917738,
8,1,222290605,
8,1,177633990,
8,1,193790799,
8,1,264445044,
8,1,224602090,
8,1,240318801,
8,1,201751871,
8,1,249289212,
8,1,255145365,
8,1,217677549,
8,1,204781088,
8,1,235009128,
8,1,232379680,
8,1,255734124,
8,1,290340890,
8,1,213908724,
9,1,540771031,
9,1,581651845,
9,1,572706608,
9,1,592761011,
9,1,649983662,
9,1,732078497,
9,1,760939277,
9,1,896478204,
9,1,569140341,
9,1,547077757,
9,1,594310601,
9,1,499530843,
9,1,585519083,
9,1,485807627,
9,1,675095630,
9,1,810442397,
9,1,510887549,
9,1,532850289,
9,1,620760778,
9,1,610769092,
9,1,704927705,
9,1,611144953,
9,1,612023601,
9,1,747823789,
9,1,679828110,
9,1,481603050,
9,1,714833175,
9,1,501090234,
9,1,722372261,
9,1,662806382,
9,1,687240027,
9,1,539168414,
9,1,775463147,
9,1,624859470,
9,1,673532596,
9,1,601676467,
9,1,809026895,
9,1,900039693,
9,1,529539355,
9,1,582443034,
