ed,depth,size,time
3,1,598005,
3,1,674769,
3,1,647745,
3,1,650592,
3,1,635442,
3,1,662179,
3,1,662514,
3,1,640291,
3,1,695625,
3,1,662110,
3,1,697485,
3,1,597925,
3,1,715790,
3,1,710859,
3,1,633400,
3,1,681153,
3,1,622760,
3,1,629669,
3,1,653776,
3,1,686497,
3,1,730683,
3,1,679291,
3,1,633956,
3,1,680324,
3,1,648925,
3,1,643664,
3,1,676442,
3,1,654631,
3,1,656516,
3,1,627496,
3,1,674606,
3,1,674518,
3,1,587222,
3,1,645791,
3,1,680525,
3,1,632278,
3,1,661792,
3,1,664043,
3,1,585810,
3,1,640759,
3,2,847219,
3,2,809545,
3,2,862097,
3,2,865490,
3,2,900088,
3,2,874155,
3,2,888259,
3,2,886491,
3,2,929361,
3,2,958244,
3,2,797206,
3,2,844853,
3,2,933436,
3,2,838667,
3,2,890781,
3,2,954441,
3,2,838452,
3,2,908427,
3,2,849102,
3,2,916391,
3,2,907424,
3,2,971687,
3,2,871556,
3,2,905323,
3,2,908891,
3,2,844246,
3,2,880949,
3,2,869007,
3,2,868747,
3,2,790145,
3,2,900919,
3,2,876073,
3,2,902987,
3,2,867778,
3,2,788381,
3,2,886334,
3,2,889140,
3,2,859477,
3,2,918815,
3,2,849127,
3,3,1141911,
3,3,1130100,
3,3,1098824,
3,3,1116766,
3,3,1099658,
3,3,1148670,
3,3,1138831,
3,3,1067288,
3,3,1138633,
3,3,1188433,
3,3,1198984,
3,3,1023892,
3,3,1222950,
3,3,1209854,
3,3,1076903,
3,3,1095878,
3,3,1092817,
3,3,1099365,
3,3,1171611,
3,3,1243140,
3,3,1174984,
3,3,1173293,
3,3,1087383,
3,3,1187235,
3,3,1101787,
3,3,1164062,
3,3,1125226,
3,3,1034814,
3,3,1118821,
3,3,1138732,
3,3,1146659,
3,3,1095632,
3,3,1162845,
3,3,1121362,
3,3,1084977,
3,3,1139769,
3,3,1010468,
3,3,1141559,
3,3,1154317,
3,3,1082726,
3,4,1287542,
3,4,1219235,
3,4,1301131,
3,4,1239780,
3,4,1232020,
3,4,1277184,
3,4,1269866,
3,4,1292919,
3,4,1294751,
3,4,1327128,
3,4,1306533,
3,4,1372303,
3,4,1377553,
3,4,1355707,
3,4,1212006,
3,4,1159095,
3,4,1243955,
3,4,1341092,
3,4,1239104,
3,4,1245194,
3,4,1227145,
3,4,1302523,
3,4,1396793,
3,4,1323780,
3,4,1333695,
3,4,1264511,
3,4,1285654,
3,4,1170889,
3,4,1247571,
3,4,1310647,
3,4,1293746,
3,4,1235531,
3,4,1277096,
3,4,1270592,
3,4,1223546,
3,4,1319439,
3,4,1287195,
3,4,1288110,
3,4,1144457,
3,4,1235374,
3,5,1318167,
3,5,1373460,
3,5,1404529,
3,5,1391131,
3,5,1338794,
3,5,1378345,
3,5,1330412,
3,5,1394874,
3,5,1251453,
3,5,1433141,
3,5,1400533,
3,5,1463098,
3,5,1482025,
3,5,1488428,
3,5,1340117,
3,5,1409149,
3,5,1308400,
3,5,1336653,
3,5,1445821,
3,5,1345159,
3,5,1439113,
3,5,1427062,
3,5,1408438,
3,5,1325875,
3,5,1503675,
3,5,1348839,
3,5,1374217,
3,5,1381859,
3,5,1264513,
3,5,1387427,
3,5,1397716,
3,5,1363235,
3,5,1415711,
3,5,1339516,
3,5,1427590,
3,5,1385881,
3,5,1336568,
3,5,1322242,
3,5,1237368,
3,5,1389961,
3,6,1493136,
3,6,1527711,
3,6,1435773,
3,6,1448484,
3,6,1506428,
3,6,1448232,
3,6,1508713,
3,6,1491869,
3,6,1551567,
3,6,1359315,
3,6,1519325,
3,6,1528084,
3,6,1611018,
3,6,1599556,
3,6,1586080,
3,6,1455941,
3,6,1418786,
3,6,1433156,
3,6,1627493,
3,6,1462158,
3,6,1527809,
3,6,1450352,
3,6,1550220,
3,6,1563977,
3,6,1562497,
3,6,1500608,
3,6,1489738,
3,6,1506506,
3,6,1536224,
3,6,1373464,
3,6,1468116,
3,6,1513302,
3,6,1541932,
3,6,1451537,
3,6,1343224,
3,6,1501542,
3,6,1504542,
3,6,1431375,
3,6,1478816,
3,6,1443858,
3,7,1569560,
3,7,1608157,
3,7,1587641,
3,7,1513320,
3,7,1525853,
3,7,1589242,
3,7,1525348,
3,7,1571800,
3,7,1601871,
3,7,1684157,
3,7,1608495,
3,7,1432136,
3,7,1633309,
3,7,1694788,
3,7,1669969,
3,7,1531510,
3,7,1539941,
3,7,1510660,
3,7,1494119,
3,7,1711307,
3,7,1645048,
3,7,1610641,
3,7,1630936,
3,7,1645162,
3,7,1526840,
3,7,1548807,
3,7,1581846,
3,7,1555008,
3,7,1570463,
3,7,1445768,
3,7,1585485,
3,7,1617639,
3,7,1594526,
3,7,1533194,
3,7,1507994,
3,7,1584488,
3,7,1416458,
3,7,1578936,
3,7,1624936,
3,7,1522848,
3,8,1668147,
3,8,1665466,
3,8,1647437,
3,8,1649957,
3,8,1599040,
3,8,1689252,
3,8,1600450,
3,8,1591046,
3,8,1709999,
3,8,1684904,
3,8,1753267,
3,8,1503563,
3,8,1683396,
3,8,1777980,
3,8,1767489,
3,8,1607160,
3,8,1618346,
3,8,1728830,
3,8,1566535,
3,8,1586099,
3,8,1602189,
3,8,1791748,
3,8,1688635,
3,8,1710757,
3,8,1726055,
3,8,1662425,
3,8,1664118,
3,8,1673257,
3,8,1627221,
3,8,1650621,
3,8,1631017,
3,8,1697941,
3,8,1517799,
3,8,1611872,
3,8,1657292,
3,8,1709339,
3,8,1581839,
3,8,1661952,
3,8,1601033,
3,8,1488942,
3,9,1677621,
3,9,1747894,
3,9,1680249,
3,9,1774309,
3,9,1745221,
3,9,1731705,
3,9,1673950,
3,9,1724992,
3,9,1838015,
3,9,1768516,
3,9,1765455,
3,9,1578369,
3,9,1849205,
3,9,1685925,
3,9,1862704,
3,9,1793157,
3,9,1642580,
3,9,1698877,
3,9,1660648,
3,9,1680128,
3,9,1795859,
3,9,1772107,
3,9,1812917,
3,9,1875847,
3,9,1810079,
3,9,1710624,
3,9,1747222,
3,9,1710223,
3,9,1592120,
3,9,1781005,
3,9,1745819,
3,9,1690465,
3,9,1753476,
3,9,1737386,
3,9,1731836,
3,9,1562876,
3,9,1741014,
3,9,1657325,
3,9,1791164,
3,9,1676623,
3,10,1809180,
3,10,1734032,
3,10,1738987,
3,10,1785395,
3,10,1808417,
3,10,1792489,
3,10,1837253,
3,10,1737188,
3,10,1831457,
3,10,1927447,
3,10,1827006,
3,10,1856412,
3,10,1901484,
3,10,1633101,
3,10,1742618,
3,10,1912578,
3,10,1738872,
3,10,1875291,
3,10,1700514,
3,10,1718792,
3,10,1834837,
3,10,1758290,
3,10,1857836,
3,10,1937075,
3,10,1873046,
3,10,1810866,
3,10,1769561,
3,10,1647881,
3,10,1772708,
3,10,1806207,
3,10,1792895,
3,10,1816774,
3,10,1797706,
3,10,1843726,
3,10,1753461,
3,10,1621054,
3,10,1854918,
3,10,1715413,
3,10,1737253,
3,10,1800484,
5,1,7004419,
5,1,6944981,
5,1,7420266,
5,1,7473232,
5,1,7789088,
5,1,7368586,
5,1,7490442,
5,1,7458788,
5,1,7150106,
5,1,7916306,
5,1,7308881,
5,1,7602851,
5,1,7926449,
5,1,6437293,
5,1,7682629,
5,1,6646632,
5,1,6653393,
5,1,6638442,
5,1,7006801,
5,1,7645957,
5,1,6977608,
5,1,7362626,
5,1,7032672,
5,1,7994430,
5,1,7536288,
5,1,7447845,
5,1,7535161,
5,1,7153987,
5,1,6242169,
5,1,6905237,
5,1,7352072,
5,1,7423997,
5,1,7783759,
5,1,8147267,
5,1,7204782,
5,1,6463882,
5,1,6885822,
5,1,7157119,
5,1,7111755,
